term,tree,l1,l2,l3,l4,l5,l6,l7
Scopolamine Derivatives,D03.132.889.601,D03,132,889,601,,,
Butylscopolammonium Bromide,D03.132.889.601.200,D03,132,889,601,200,,
N-Methylscopolamine,D03.132.889.601.550,D03,132,889,601,550,,
Scopolamine Hydrobromide,D03.132.889.601.775,D03,132,889,601,775,,
Veratrum Alkaloids,D03.132.920,D03,132,920,,,,
Cevanes,D03.132.920.256,D03,132,920,256,,,
Germine Acetates,D03.132.920.256.310,D03,132,920,256,310,,
Protoveratrines,D03.132.920.256.543,D03,132,920,256,543,,
Veratridine,D03.132.920.256.679,D03,132,920,256,679,,
Veratrine,D03.132.920.256.815,D03,132,920,256,815,,
Xanthines,D03.132.960,D03,132,960,,,,
Caffeine,D03.132.960.175,D03,132,960,175,,,
Theobromine,D03.132.960.651,D03,132,960,651,,,
Theophylline,D03.132.960.751,D03,132,960,751,,,
Uric Acid,D03.132.960.877,D03,132,960,877,,,
Xanthine,D03.132.960.938,D03,132,960,938,,,
"Heterocyclic Compounds, 1-Ring",D03.383,D03,383,,,,,
Azepines,D03.383.066,D03,383,66,,,,
Caprolactam,D03.383.066.150,D03,383,66,150,,,
Dilazep,D03.383.066.200,D03,383,66,200,,,
Meptazinol,D03.383.066.400,D03,383,66,400,,,
Oxazepines,D03.383.066.498,D03,383,66,498,,,
Pentylenetetrazole,D03.383.066.600,D03,383,66,600,,,
Thiazepines,D03.383.066.785,D03,383,66,785,,,
Zolazepam,D03.383.066.985,D03,383,66,985,,,
Azetines,D03.383.082,D03,383,82,,,,
Azetidines,D03.383.082.301,D03,383,82,301,,,
Azetidinecarboxylic Acid,D03.383.082.301.100,D03,383,82,301,100,,
Azirines,D03.383.097,D03,383,97,,,,
Aziridines,D03.383.097.217,D03,383,97,217,,,
Carbazilquinone,D03.383.097.217.300,D03,383,97,217,300,,
Triaziquone,D03.383.097.217.900,D03,383,97,217,900,,
Triethylenemelamine,D03.383.097.217.924,D03,383,97,217,924,,
Triethylenephosphoramide,D03.383.097.217.935,D03,383,97,217,935,,
Thiotepa,D03.383.097.217.935.960,D03,383,97,217,935,960,
Mitomycins,D03.383.097.500,D03,383,97,500,,,
Mitomycin,D03.383.097.500.350,D03,383,97,500,350,,
Porfiromycin,D03.383.097.500.700,D03,383,97,500,700,,
Azocines,D03.383.113,D03,383,113,,,,
Cyclazocine,D03.383.113.367,D03,383,113,367,,,
Ethylketocyclazocine,D03.383.113.367.350,D03,383,113,367,350,,
Oxazocines,D03.383.113.767,D03,383,113,767,,,
Nefopam,D03.383.113.767.500,D03,383,113,767,500,,
Azoles,D03.383.129,D03,383,129,,,,
Imidazoles,D03.383.129.308,D03,383,129,308,,,
Aminoimidazole Carboxamide,D03.383.129.308.030,D03,383,129,308,30,,
Antazoline,D03.383.129.308.040,D03,383,129,308,40,,
Biotin,D03.383.129.308.080,D03,383,129,308,80,,
Bis(4-Methyl-1-Homopiperazinylthiocarbonyl)disulfide,D03.383.129.308.090,D03,383,129,308,90,,
4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone,D03.383.129.308.100,D03,383,129,308,100,,
Carbimazole,D03.383.129.308.108,D03,383,129,308,108,,
Cimetidine,D03.383.129.308.130,D03,383,129,308,130,,
Clotrimazole,D03.383.129.308.175,D03,383,129,308,175,,
Creatinine,D03.383.129.308.207,D03,383,129,308,207,,
Dacarbazine,D03.383.129.308.240,D03,383,129,308,240,,
Dexmedetomidine,D03.383.129.308.245,D03,383,129,308,245,,
Econazole,D03.383.129.308.250,D03,383,129,308,250,,
Enoximone,D03.383.129.308.253,D03,383,129,308,253,,
Etimizol,D03.383.129.308.260,D03,383,129,308,260,,
Etomidate,D03.383.129.308.265,D03,383,129,308,265,,
Fadrozole,D03.383.129.308.270,D03,383,129,308,270,,
Fluspirilene,D03.383.129.308.290,D03,383,129,308,290,,
Histamine,D03.383.129.308.373,D03,383,129,308,373,,
Methylhistamines,D03.383.129.308.373.500,D03,383,129,308,373,500,
Histidinol,D03.383.129.308.385,D03,383,129,308,385,,
Idazoxan,D03.383.129.308.428,D03,383,129,308,428,,
Imidazolidines,D03.383.129.308.432,D03,383,129,308,432,,
Ethylenethiourea,D03.383.129.308.432.500,D03,383,129,308,432,500,
Hydantoins,D03.383.129.308.432.555,D03,383,129,308,432,555,
Allantoin,D03.383.129.308.432.555.105,D03,383,129,308,432,555,105
Dantrolene,D03.383.129.308.432.555.287,D03,383,129,308,432,555,287
Mephenytoin,D03.383.129.308.432.555.620,D03,383,129,308,432,555,620
Phenytoin,D03.383.129.308.432.555.730,D03,383,129,308,432,555,730
Thiohydantoins,D03.383.129.308.432.555.868,D03,383,129,308,432,555,868
Phenylthiohydantoin,D03.383.129.308.432.555.868.650,D03,383,129,308,432,555,868
Imidazolines,D03.383.129.308.436,D03,383,129,308,436,,
Clonidine,D03.383.129.308.436.500,D03,383,129,308,436,500,
Tolazoline,D03.383.129.308.436.750,D03,383,129,308,436,750,
Impromidine,D03.383.129.308.445,D03,383,129,308,445,,
Levamisole,D03.383.129.308.480,D03,383,129,308,480,,
Losartan,D03.383.129.308.507,D03,383,129,308,507,,
Medetomidine,D03.383.129.308.521,D03,383,129,308,521,,
Methimazole,D03.383.129.308.535,D03,383,129,308,535,,
Miconazole,D03.383.129.308.550,D03,383,129,308,550,,
Naphazoline,D03.383.129.308.585,D03,383,129,308,585,,
Niridazole,D03.383.129.308.626,D03,383,129,308,626,,
Nitroimidazoles,D03.383.129.308.658,D03,383,129,308,658,,
Dimetridazole,D03.383.129.308.658.200,D03,383,129,308,658,200,
Etanidazole,D03.383.129.308.658.250,D03,383,129,308,658,250,
Ipronidazole,D03.383.129.308.658.400,D03,383,129,308,658,400,
Metronidazole,D03.383.129.308.658.500,D03,383,129,308,658,500,
Misonidazole,D03.383.129.308.658.530,D03,383,129,308,658,530,
Nimorazole,D03.383.129.308.658.580,D03,383,129,308,658,580,
Ornidazole,D03.383.129.308.658.700,D03,383,129,308,658,700,
Ronidazole,D03.383.129.308.658.730,D03,383,129,308,658,730,
Tinidazole,D03.383.129.308.658.900,D03,383,129,308,658,900,
Ondansetron,D03.383.129.308.690,D03,383,129,308,690,,
Oxymetazoline,D03.383.129.308.704,D03,383,129,308,704,,
Phentolamine,D03.383.129.308.754,D03,383,129,308,754,,
Tetramisole,D03.383.129.308.884,D03,383,129,308,884,,
Trimethaphan,D03.383.129.308.935,D03,383,129,308,935,,
Urocanic Acid,D03.383.129.308.960,D03,383,129,308,960,,
Isoxazoles,D03.383.129.385,D03,383,129,385,,,
alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid,D03.383.129.385.025,D03,383,129,385,25,,
Cycloserine,D03.383.129.385.162,D03,383,129,385,162,,
Ibotenic Acid,D03.383.129.385.231,D03,383,129,385,231,,
Isocarboxazid,D03.383.129.385.300,D03,383,129,385,300,,
Oxazoles,D03.383.129.462,D03,383,129,462,,,
Aminorex,D03.383.129.462.050,D03,383,129,462,50,,
Dimethadione,D03.383.129.462.175,D03,383,129,462,175,,
Fura-2,D03.383.129.462.285,D03,383,129,462,285,,
Muscimol,D03.383.129.462.470,D03,383,129,462,470,,
Oxadiazoles,D03.383.129.462.580,D03,383,129,462,580,,
"5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole",D03.383.129.462.580.200,D03,383,129,462,580,200,
4-Chloro-7-nitrobenzofurazan,D03.383.129.462.580.400,D03,383,129,462,580,400,
Quisqualic Acid,D03.383.129.462.580.600,D03,383,129,462,580,600,
Sydnones,D03.383.129.462.580.693,D03,383,129,462,580,693,
Molsidomine,D03.383.129.462.580.693.450,D03,383,129,462,580,693,450
Oxazolidinones,D03.383.129.462.600,D03,383,129,462,600,,
Cycloserine,D03.383.129.462.600.162,D03,383,129,462,600,162,
Furazolidone,D03.383.129.462.600.500,D03,383,129,462,600,500,
Nifuratel,D03.383.129.462.600.600,D03,383,129,462,600,600,
Oxazolone,D03.383.129.462.620,D03,383,129,462,620,,
Pemoline,D03.383.129.462.673,D03,383,129,462,673,,
Trimethadione,D03.383.129.462.883,D03,383,129,462,883,,
Pyrazoles,D03.383.129.539,D03,383,129,539,,,
Betazole,D03.383.129.539.100,D03,383,129,539,100,,
"4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine",D03.383.129.539.120,D03,383,129,539,120,,
Epirizole,D03.383.129.539.200,D03,383,129,539,200,,
Indazoles,D03.383.129.539.487,D03,383,129,539,487,,
Benzydamine,D03.383.129.539.487.130,D03,383,129,539,487,130,
Granisetron,D03.383.129.539.487.350,D03,383,129,539,487,350,
Muzolimine,D03.383.129.539.550,D03,383,129,539,550,,
Oxypurinol,D03.383.129.539.650,D03,383,129,539,650,,
Pyrazolones,D03.383.129.539.850,D03,383,129,539,850,,
Aminopyrine,D03.383.129.539.850.077,D03,383,129,539,850,77,
Ampyrone,D03.383.129.539.850.077.025,D03,383,129,539,850,77,25
Dipyrone,D03.383.129.539.850.077.150,D03,383,129,539,850,77,150
Antipyrine,D03.383.129.539.850.088,D03,383,129,539,850,88,
Phenylbutazone,D03.383.129.539.850.777,D03,383,129,539,850,777,
Feprazone,D03.383.129.539.850.777.670,D03,383,129,539,850,777,670
Oxyphenbutazone,D03.383.129.539.850.777.700,D03,383,129,539,850,777,700
Sulfinpyrazone,D03.383.129.539.850.777.800,D03,383,129,539,850,777,800
Sulfaphenazole,D03.383.129.539.925,D03,383,129,539,925,,
Pyrroles,D03.383.129.578,D03,383,129,578,,,
Cromakalim,D03.383.129.578.150,D03,383,129,578,150,,
Maleimides,D03.383.129.578.399,D03,383,129,578,399,,
Ethylmaleimide,D03.383.129.578.399.418,D03,383,129,578,399,418,
Porphobilinogen,D03.383.129.578.617,D03,383,129,578,617,,
Prodigiosin,D03.383.129.578.748,D03,383,129,578,748,,
Pyrrolnitrin,D03.383.129.578.770,D03,383,129,578,770,,
Ryanodine,D03.383.129.578.805,D03,383,129,578,805,,
Tetrapyrroles,D03.383.129.578.840,D03,383,129,578,840,,
Bile Pigments,D03.383.129.578.840.249,D03,383,129,578,840,249,
Bilirubin,D03.383.129.578.840.249.184,D03,383,129,578,840,249,184
Biliverdine,D03.383.129.578.840.249.184.200,D03,383,129,578,840,249,184
Urobilin,D03.383.129.578.840.249.727,D03,383,129,578,840,249,727
Urobilinogen,D03.383.129.578.840.249.852,D03,383,129,578,840,249,852
Chlorophyll,D03.383.129.578.840.374,D03,383,129,578,840,374,
Bacteriochlorophylls,D03.383.129.578.840.374.100,D03,383,129,578,840,374,100
Chlorophyllides,D03.383.129.578.840.374.180,D03,383,129,578,840,374,180
Pheophytins,D03.383.129.578.840.374.700,D03,383,129,578,840,374,700
Protochlorophyllide,D03.383.129.578.840.374.725,D03,383,129,578,840,374,725
Corrinoids,D03.383.129.578.840.437,D03,383,129,578,840,437,
Vitamin B 12,D03.383.129.578.840.437.777,D03,383,129,578,840,437,777
Cobamides,D03.383.129.578.840.437.777.270,D03,383,129,578,840,437,777
Hydroxocobalamin,D03.383.129.578.840.437.777.560,D03,383,129,578,840,437,777
Phycobilins,D03.383.129.578.840.468,D03,383,129,578,840,468,
Porphyrins,D03.383.129.578.840.500,D03,383,129,578,840,500,
Coproporphyrins,D03.383.129.578.840.500.250,D03,383,129,578,840,500,250
Deuteroporphyrins,D03.383.129.578.840.500.280,D03,383,129,578,840,500,280
Etioporphyrins,D03.383.129.578.840.500.340,D03,383,129,578,840,500,340
Hematoporphyrins,D03.383.129.578.840.500.462,D03,383,129,578,840,500,462
Hematoporphyrin Derivative,D03.383.129.578.840.500.462.400,D03,383,129,578,840,500,462
Dihematoporphyrin Ether,D03.383.129.578.840.500.462.400.200,D03,383,129,578,840,500,462
Mesoporphyrins,D03.383.129.578.840.500.620,D03,383,129,578,840,500,620
Metalloporphyrins,D03.383.129.578.840.500.640,D03,383,129,578,840,500,640
Chlorophyll,D03.383.129.578.840.500.640.220,D03,383,129,578,840,500,640
Bacteriochlorophylls,D03.383.129.578.840.500.640.220.100,D03,383,129,578,840,500,640
Chlorophyllides,D03.383.129.578.840.500.640.220.180,D03,383,129,578,840,500,640
Protochlorophyllide,D03.383.129.578.840.500.640.220.725,D03,383,129,578,840,500,640
Heme,D03.383.129.578.840.500.640.587,D03,383,129,578,840,500,640
Hemin,D03.383.129.578.840.500.640.587.462,D03,383,129,578,840,500,640
Porphyrinogens,D03.383.129.578.840.500.700,D03,383,129,578,840,500,700
Coproporphyrinogens,D03.383.129.578.840.500.700.250,D03,383,129,578,840,500,700
Uroporphyrinogens,D03.383.129.578.840.500.700.900,D03,383,129,578,840,500,700
Protoporphyrins,D03.383.129.578.840.500.725,D03,383,129,578,840,500,725
Uroporphyrins,D03.383.129.578.840.500.880,D03,383,129,578,840,500,880
Tolmetin,D03.383.129.578.910,D03,383,129,578,910,,
Tetrazoles,D03.383.129.617,D03,383,129,617,,,
Cefotetan,D03.383.129.617.235,D03,383,129,617,235,,
Losartan,D03.383.129.617.467,D03,383,129,617,467,,
Tetrazolium Salts,D03.383.129.617.700,D03,383,129,617,700,,
Nitroblue Tetrazolium,D03.383.129.617.700.500,D03,383,129,617,700,500,
Thiazoles,D03.383.129.708,D03,383,129,708,,,
Benzothiazoles,D03.383.129.708.089,D03,383,129,708,89,,
Dithiazanine,D03.383.129.708.089.222,D03,383,129,708,89,222,
Ethoxzolamide,D03.383.129.708.089.416,D03,383,129,708,89,416,
Riluzole,D03.383.129.708.089.611,D03,383,129,708,89,611,
Saccharin,D03.383.129.708.089.708,D03,383,129,708,89,708,
Chlormethiazole,D03.383.129.708.180,D03,383,129,708,180,,
Famotidine,D03.383.129.708.215,D03,383,129,708,215,,
FANFT,D03.383.129.708.250,D03,383,129,708,250,,
Firefly Luciferin,D03.383.129.708.298,D03,383,129,708,298,,
Levamisole,D03.383.129.708.346,D03,383,129,708,346,,
Niridazole,D03.383.129.708.482,D03,383,129,708,482,,
Nizatidine,D03.383.129.708.500,D03,383,129,708,500,,
Oxythiamine,D03.383.129.708.540,D03,383,129,708,540,,
Rhodanine,D03.383.129.708.649,D03,383,129,708,649,,
Ritonavir,D03.383.129.708.653,D03,383,129,708,653,,
Sulfathiazoles,D03.383.129.708.725,D03,383,129,708,725,,
Tetramisole,D03.383.129.708.782,D03,383,129,708,782,,
Thiabendazole,D03.383.129.708.824,D03,383,129,708,824,,
Thiadiazoles,D03.383.129.708.867,D03,383,129,708,867,,
Acetazolamide,D03.383.129.708.867.060,D03,383,129,708,867,60,
Benzolamide,D03.383.129.708.867.120,D03,383,129,708,867,120,
Methazolamide,D03.383.129.708.867.537,D03,383,129,708,867,537,
Timolol,D03.383.129.708.867.768,D03,383,129,708,867,768,
Thiamine,D03.383.129.708.900,D03,383,129,708,900,,
Fursultiamin,D03.383.129.708.900.300,D03,383,129,708,900,300,
Thiamine Monophosphate,D03.383.129.708.900.600,D03,383,129,708,900,600,
Thiamine Pyrophosphate,D03.383.129.708.900.702,D03,383,129,708,900,702,
Thiamine Triphosphate,D03.383.129.708.900.900,D03,383,129,708,900,900,
Thiazolidinediones,D03.383.129.708.933,D03,383,129,708,933,,
Triazoles,D03.383.129.799,D03,383,129,799,,,
Amitrole,D03.383.129.799.100,D03,383,129,799,100,,
Fluconazole,D03.383.129.799.450,D03,383,129,799,450,,
Guanazole,D03.383.129.799.500,D03,383,129,799,500,,
Itraconazole,D03.383.129.799.550,D03,383,129,799,550,,
Trapidil,D03.383.129.799.900,D03,383,129,799,900,,
Dioxins,D03.383.231,D03,383,231,,,,
Dioxanes,D03.383.231.388,D03,383,231,388,,,
Idazoxan,D03.383.231.388.425,D03,383,231,388,425,,
Piperoxan,D03.383.231.388.568,D03,383,231,388,568,,
Spectinomycin,D03.383.231.388.712,D03,383,231,388,712,,
Tetrachlorodibenzodioxin,D03.383.231.900,D03,383,231,900,,,
Dioxoles,D03.383.246,D03,383,246,,,,
Benzodioxoles,D03.383.246.118,D03,383,246,118,,,
Piperonyl Butoxide,D03.383.246.118.600,D03,383,246,118,600,,
Safrole,D03.383.246.118.750,D03,383,246,118,750,,
Dioxolanes,D03.383.246.238,D03,383,246,238,,,
Furans,D03.383.312,D03,383,312,,,,
4-Butyrolactone,D03.383.312.150,D03,383,312,150,,,
Acetogenins,D03.383.312.200,D03,383,312,200,,,
Citraconic Anhydrides,D03.383.312.250,D03,383,312,250,,,
Furaldehyde,D03.383.312.355,D03,383,312,355,,,
Lasalocid,D03.383.312.490,D03,383,312,490,,,
Maleic Anhydrides,D03.383.312.520,D03,383,312,520,,,
Monensin,D03.383.312.600,D03,383,312,600,,,
Nafronyl,D03.383.312.620,D03,383,312,620,,,
Nigericin,D03.383.312.634,D03,383,312,634,,,
Nitrofurans,D03.383.312.649,D03,383,312,649,,,
"5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole",D03.383.312.649.200,D03,383,312,649,200,,
FANFT,D03.383.312.649.290,D03,383,312,649,290,,
Furagin,D03.383.312.649.308,D03,383,312,649,308,,
Furazolidone,D03.383.312.649.313,D03,383,312,649,313,,
Furylfuramide,D03.383.312.649.330,D03,383,312,649,330,,
Nifuratel,D03.383.312.649.410,D03,383,312,649,410,,
Nifurtimox,D03.383.312.649.480,D03,383,312,649,480,,
Nitrofurantoin,D03.383.312.649.566,D03,383,312,649,566,,
Nitrofurazone,D03.383.312.649.691,D03,383,312,649,691,,
Nitrovin,D03.383.312.649.750,D03,383,312,649,750,,
Ranitidine,D03.383.312.750,D03,383,312,750,,,
Lactams,D03.383.411,D03,383,411,,,,
Caprolactam,D03.383.411.200,D03,383,411,200,,,
Monobactams,D03.383.411.350,D03,383,411,350,,,
Aztreonam,D03.383.411.350.044,D03,383,411,350,44,,
Oxathiins,D03.383.517,D03,383,517,,,,
Carboxin,D03.383.517.200,D03,383,517,200,,,
Oxazines,D03.383.533,D03,383,533,,,,
Benzoxazines,D03.383.533.249,D03,383,533,249,,,
Ifosfamide,D03.383.533.500,D03,383,533,500,,,
Morpholines,D03.383.533.640,D03,383,533,640,,,
Dextromoramide,D03.383.533.640.250,D03,383,533,640,250,,
Molsidomine,D03.383.533.640.362,D03,383,533,640,362,,
Moricizine,D03.383.533.640.475,D03,383,533,640,475,,
Morpholinos,D03.383.533.640.562,D03,383,533,640,562,,
Phenmetrazine,D03.383.533.640.650,D03,383,533,640,650,,
Timolol,D03.383.533.640.775,D03,383,533,640,775,,
Viloxazine,D03.383.533.640.900,D03,383,533,640,900,,
Xamoterol,D03.383.533.640.950,D03,383,533,640,950,,
Oxepins,D03.383.564,D03,383,564,,,,
Oxocins,D03.383.585,D03,383,585,,,,
Piperazines,D03.383.606,D03,383,606,,,,
Almitrine,D03.383.606.130,D03,383,606,130,,,
Cinnarizine,D03.383.606.290,D03,383,606,290,,,
Cyclizine,D03.383.606.320,D03,383,606,320,,,
Delavirdine,D03.383.606.350,D03,383,606,350,,,
Diethylcarbamazine,D03.383.606.380,D03,383,606,380,,,
Diketopiperazines,D03.383.606.385,D03,383,606,385,,,
Razoxane,D03.383.606.385.500,D03,383,606,385,500,,
Dexrazoxane,D03.383.606.385.500.500,D03,383,606,385,500,500,
Dimethylphenylpiperazinium Iodide,D03.383.606.390,D03,383,606,390,,,
Flunarizine,D03.383.606.450,D03,383,606,450,,,
Flupenthixol,D03.383.606.460,D03,383,606,460,,,
HEPES,D03.383.606.500,D03,383,606,500,,,
Hydroxyzine,D03.383.606.515,D03,383,606,515,,,
Cetirizine,D03.383.606.515.200,D03,383,606,515,200,,
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,D03.383.606.527,D03,383,606,527,,,
Itraconazole,D03.383.606.530,D03,383,606,530,,,
Ketoconazole,D03.383.606.560,D03,383,606,560,,,
Lidoflazine,D03.383.606.596,D03,383,606,596,,,
Meclizine,D03.383.606.650,D03,383,606,650,,,
Pipecuronium,D03.383.606.760,D03,383,606,760,,,
Pipemidic Acid,D03.383.606.765,D03,383,606,765,,,
Pipobroman,D03.383.606.773,D03,383,606,773,,,
Piribedil,D03.383.606.790,D03,383,606,790,,,
Prospidium,D03.383.606.810,D03,383,606,810,,,
Quipazine,D03.383.606.827,D03,383,606,827,,,
Thiethylperazine,D03.383.606.880,D03,383,606,880,,,
Trazodone,D03.383.606.900,D03,383,606,900,,,
Trimetazidine,D03.383.606.920,D03,383,606,920,,,
Piperidines,D03.383.621,D03,383,621,,,,
Alphaprodine,D03.383.621.040,D03,383,621,40,,,
Anabasine,D03.383.621.050,D03,383,621,50,,,
Betalains,D03.383.621.080,D03,383,621,80,,,
Betacyanins,D03.383.621.080.500,D03,383,621,80,500,,
Betaxanthins,D03.383.621.080.750,D03,383,621,80,750,,
Biperiden,D03.383.621.110,D03,383,621,110,,,
Cisapride,D03.383.621.135,D03,383,621,135,,,
Clopamide,D03.383.621.147,D03,383,621,147,,,
Cyproheptadine,D03.383.621.160,D03,383,621,160,,,
Loratadine,D03.383.621.160.500,D03,383,621,160,500,,
Domperidone,D03.383.621.210,D03,383,621,210,,,
Fentanyl,D03.383.621.265,D03,383,621,265,,,
Alfentanil,D03.383.621.265.100,D03,383,621,265,100,,
Sufentanil,D03.383.621.265.900,D03,383,621,265,900,,
Flecainide,D03.383.621.270,D03,383,621,270,,,
Fluspirilene,D03.383.621.280,D03,383,621,280,,,
Imino Pyranoses,D03.383.621.300,D03,383,621,300,,,
1-Deoxynojirimycin,D03.383.621.300.033,D03,383,621,300,33,,
Indoramin,D03.383.621.320,D03,383,621,320,,,
Isonipecotic Acids,D03.383.621.349,D03,383,621,349,,,
Diphenoxylate,D03.383.621.349.300,D03,383,621,349,300,,
Meperidine,D03.383.621.349.450,D03,383,621,349,450,,
Promedol,D03.383.621.349.450.700,D03,383,621,349,450,700,
Phenoperidine,D03.383.621.349.683,D03,383,621,349,683,,
Pirinitramide,D03.383.621.349.700,D03,383,621,349,700,,
Ketanserin,D03.383.621.365,D03,383,621,365,,,
Ketotifen,D03.383.621.370,D03,383,621,370,,,
Lobeline,D03.383.621.418,D03,383,621,418,,,
Loperamide,D03.383.621.440,D03,383,621,440,,,
Mepivacaine,D03.383.621.450,D03,383,621,450,,,
Methylphenidate,D03.383.621.460,D03,383,621,460,,,
Dexmethylphenidate,D03.383.621.460.500,D03,383,621,460,500,,
Minoxidil,D03.383.621.493,D03,383,621,493,,,
Nipecotic Acids,D03.383.621.566,D03,383,621,566,,,
Paroxetine,D03.383.621.600,D03,383,621,600,,,
Pempidine,D03.383.621.610,D03,383,621,610,,,
Penfluridol,D03.383.621.620,D03,383,621,620,,,
Perhexiline,D03.383.621.644,D03,383,621,644,,,
Phencyclidine,D03.383.621.699,D03,383,621,699,,,
Pipecolic Acids,D03.383.621.758,D03,383,621,758,,,
Bupivacaine,D03.383.621.758.323,D03,383,621,758,323,,
Piperidones,D03.383.621.808,D03,383,621,808,,,
Cycloheximide,D03.383.621.808.240,D03,383,621,808,240,,
Dexetimide,D03.383.621.808.250,D03,383,621,808,250,,
Glutethimide,D03.383.621.808.425,D03,383,621,808,425,,
Aminoglutethimide,D03.383.621.808.425.100,D03,383,621,808,425,100,
Naphthalimides,D03.383.621.808.612,D03,383,621,808,612,,
Thalidomide,D03.383.621.808.800,D03,383,621,808,800,,
Triacetoneamine-N-Oxyl,D03.383.621.808.930,D03,383,621,808,930,,
Piperoxan,D03.383.621.815,D03,383,621,815,,,
Ritanserin,D03.383.621.840,D03,383,621,840,,,
Terfenadine,D03.383.621.855,D03,383,621,855,,,
Trihexyphenidyl,D03.383.621.900,D03,383,621,900,,,
Pyrans,D03.383.663,D03,383,663,,,,
Aurovertins,D03.383.663.075,D03,383,663,75,,,
Iridoids,D03.383.663.491,D03,383,663,491,,,
Iridoid Glycosides,D03.383.663.491.500,D03,383,663,491,500,,
Iridoid Glucosides,D03.383.663.491.500.500,D03,383,663,491,500,500,
Mupirocin,D03.383.663.555,D03,383,663,555,,,
Nigericin,D03.383.663.620,D03,383,663,620,,,
Pyran Copolymer,D03.383.663.705,D03,383,663,705,,,
Pyrones,D03.383.663.718,D03,383,663,718,,,
Zanamivir,D03.383.663.859,D03,383,663,859,,,
Pyrazines,D03.383.679,D03,383,679,,,,
Amiloride,D03.383.679.149,D03,383,679,149,,,
Pyrazinamide,D03.383.679.750,D03,383,679,750,,,
Pyridazines,D03.383.710,D03,383,710,,,,
Cilazapril,D03.383.710.100,D03,383,710,100,,,
Luminol,D03.383.710.350,D03,383,710,350,,,
Maleic Hydrazide,D03.383.710.400,D03,383,710,400,,,
Phthalazines,D03.383.710.605,D03,383,710,605,,,
Hydralazine,D03.383.710.605.500,D03,383,710,605,500,,
Dihydralazine,D03.383.710.605.500.250,D03,383,710,605,500,250,
Todralazine,D03.383.710.605.925,D03,383,710,605,925,,
Pyridines,D03.383.725,D03,383,725,,,,
2-Pyridinylmethylsulfinylbenzimidazoles,D03.383.725.024,D03,383,725,24,,,
Lansoprazole,D03.383.725.024.249,D03,383,725,24,249,,
Dexlansoprazole,D03.383.725.024.249.500,D03,383,725,24,249,500,
Omeprazole,D03.383.725.024.500,D03,383,725,24,500,,
Esomeprazole,D03.383.725.024.500.500,D03,383,725,24,500,500,
Rabeprazole,D03.383.725.024.750,D03,383,725,24,750,,
Aminopyridines,D03.383.725.050,D03,383,725,50,,,
4-Aminopyridine,D03.383.725.050.060,D03,383,725,50,60,,
Amrinone,D03.383.725.050.085,D03,383,725,50,85,,
Milrinone,D03.383.725.050.085.543,D03,383,725,50,85,543,
Methapyrilene,D03.383.725.050.440,D03,383,725,50,440,,
Phenazopyridine,D03.383.725.050.610,D03,383,725,50,610,,
Pyrilamine,D03.383.725.050.805,D03,383,725,50,805,,
Tripelennamine,D03.383.725.050.920,D03,383,725,50,920,,
Betahistine,D03.383.725.086,D03,383,725,86,,,
Carbolines,D03.383.725.150,D03,383,725,150,,,
Clopidol,D03.383.725.180,D03,383,725,180,,,
Dihydropyridines,D03.383.725.203,D03,383,725,203,,,
Amlodipine,D03.383.725.203.065,D03,383,725,203,65,,
Dicarbethoxydihydrocollidine,D03.383.725.203.200,D03,383,725,203,200,,
Felodipine,D03.383.725.203.250,D03,383,725,203,250,,
Isradipine,D03.383.725.203.310,D03,383,725,203,310,,
Nicardipine,D03.383.725.203.510,D03,383,725,203,510,,
Nifedipine,D03.383.725.203.540,D03,383,725,203,540,,
Nimodipine,D03.383.725.203.570,D03,383,725,203,570,,
Nisoldipine,D03.383.725.203.580,D03,383,725,203,580,,
Nitrendipine,D03.383.725.203.590,D03,383,725,203,590,,
"3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester",D03.383.725.203.600,D03,383,725,203,600,,
Dimethindene,D03.383.725.210,D03,383,725,210,,,
"2,2'-Dipyridyl",D03.383.725.220,D03,383,725,220,,,
Disopyramide,D03.383.725.227,D03,383,725,227,,,
Doxylamine,D03.383.725.259,D03,383,725,259,,,
Indinavir,D03.383.725.385,D03,383,725,385,,,
Isonicotinic Acids,D03.383.725.394,D03,383,725,394,,,
Ethionamide,D03.383.725.394.220,D03,383,725,394,220,,
Iproniazid,D03.383.725.394.414,D03,383,725,394,414,,
Isoniazid,D03.383.725.394.582,D03,383,725,394,582,,
Nialamide,D03.383.725.394.628,D03,383,725,394,628,,
Prothionamide,D03.383.725.394.675,D03,383,725,394,675,,
Pyridoxic Acid,D03.383.725.394.700,D03,383,725,394,700,,
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",D03.383.725.450,D03,383,725,450,,,
Metyrapone,D03.383.725.463,D03,383,725,463,,,
Naphthylvinylpyridine,D03.383.725.495,D03,383,725,495,,,
Nevirapine,D03.383.725.506,D03,383,725,506,,,
